idx,brand,title,model,serie,type,engineVolume,engineType,enginePower,line,year,gearbox,km,gas,price,label,place,location
2694,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-40492-km-essence,volkswagen tiguan,II phase 2,1.5 TSI 150 LIFE,1.5,TSI,150,LIFE,2022,Auto,40492,Essence,28990,Offre équitable,AUDI VOLKSWAGEN LYON OUEST - GROUPE CENTRAL AUTOS,69
2695,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-40533-km-essence,volkswagen tiguan,II phase 2,1.5 TSI 150 ELEGANCE,1.5,TSI,150,ELEGANCE,2022,Auto,40533,Essence,32890,Offre équitable,VOLKSWAGEN EVREUX - GROUPE LECLUSE AUTOMOBILES,27
2696,volkswagen,volkswagen-t-roc-phase-2-2022-manual-40802-km-essence,volkswagen t-roc,phase 2,1.0 TSI 110 LIFE BUSINESS,1.0,TSI,110,LIFE BUSINESS,2022,Manuelle,40802,Essence,24500,Offre équitable,BARBIER AUTOMOBILES,88
2697,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-41376-km-hybrides,volkswagen tiguan,II phase 2,1.4 E-HYBRID 245 ELEGANCE EXCLUSIVE,1.4,E-HYBRID,245,ELEGANCE EXCLUSIVE,2022,Auto,41376,Hybrides,27495,Très bonne affaire,ORIGAMI AUTOS,44
2698,volkswagen,volkswagen-t-roc-phase-2-2022-auto-41461-km-essence,volkswagen t-roc,phase 2,1.5 TSI 150 STYLE EXCLUSIVE,1.5,TSI,150,STYLE EXCLUSIVE,2022,Auto,41461,Essence,27490,Bonne affaire,BYD ANGERS - ELECTRIK AUTOMOBILE,49
2699,volkswagen,volkswagen-t-roc-phase-2-2022-auto-41500-km-essence,volkswagen t-roc,phase 2,1.5 TSI 150 R-LINE,1.5,TSI,150,R-LINE,2022,Auto,41500,Essence,28990,Offre équitable,L'AGENCE AUTOMOBILIERE DE CERGY PONTOISE,95
2700,volkswagen,volkswagen-t-roc-phase-2-2022-auto-41552-km-diesel,volkswagen t-roc,phase 2,2.0 TDI 150 R-LINE DSG 7 (2),2.0,TDI,150,R-LINE DSG 7 (2),2022,Auto,41552,Diesel,28590,Bonne affaire,DELUXE AUTO,06
2701,volkswagen,volkswagen-t-roc-cabriolet-phase-2-2022-manual-41615-km-essence,volkswagen t-roc,CABRIOLET phase 2,1.0 TSI 110 STYLE,1.0,TSI,110,STYLE,2022,Manuelle,41615,Essence,24900,Offre équitable,THEVENOD SAS LONS-LE-SAUNIER,39
2702,volkswagen,volkswagen-t-roc-phase-2-2022-manual-41731-km-essence,volkswagen t-roc,phase 2,1.0 TSI 110 LIFE,1.0,TSI,110,LIFE,2022,Manuelle,41731,Essence,20458,Bonne affaire,VOLKSWAGEN BYMYCAR CARPENTRAS,84
2703,volkswagen,volkswagen-t-roc-phase-2-2022-manual-42000-km-essence,volkswagen t-roc,phase 2,1.0 TSI 110 LIFE,1.0,TSI,110,LIFE,2022,Manuelle,42000,Essence,19990,Bonne affaire,LYON NEGOCE AUTO,01
2704,volkswagen,volkswagen-t-roc-phase-2-2022-manual-42336-km-essence,volkswagen t-roc,phase 2,1.0 TSI 110 LIFE,1.0,TSI,110,LIFE,2022,Manuelle,42336,Essence,21490,Offre équitable,JEAN LAIN OCCASIONS GAP,05
2705,volkswagen,volkswagen-t-roc-phase-2-2022-manual-42428-km-essence,volkswagen t-roc,phase 2,1.0 TSI 110 LIFE PLUS,1.0,TSI,110,LIFE PLUS,2022,Manuelle,42428,Essence,21490,Bonne affaire,SCALA PERPIGNAN,66
2706,volkswagen,volkswagen-t-roc-phase-2-2022-manual-42670-km-essence,volkswagen t-roc,phase 2,1.0 TSI 110 LIFE BUSINESS,1.0,TSI,110,LIFE BUSINESS,2022,Manuelle,42670,Essence,20990,Bonne affaire,VOLKSWAGEN LENS - VGRF HAUTS DE FRANCE,62
2707,skoda,skoda-octavia-iv-combi-2022-auto-42735-km-essence,skoda octavia,IV COMBI,2.0 TSI 190 STYLE,2.0,TSI,190,STYLE,2022,Auto,42735,Essence,34650,-,GARAGES SECURICAR AMBARES,33
2708,volkswagen,volkswagen-t-roc-phase-2-2022-manual-42814-km-essence,volkswagen t-roc,phase 2,1.0 TSI 110 LIFE,1.0,TSI,110,LIFE,2022,Manuelle,42814,Essence,21990,Offre équitable,JW AUTO BAYEUX,14
2709,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-42956-km-hybrides,volkswagen tiguan,II phase 2,1.4 E-HYBRID 245 LIFE BUSINESS,1.4,E-HYBRID,245,LIFE BUSINESS,2022,Auto,42956,Hybrides,26990,Bonne affaire,AYVENS BORDEAUX,33
2710,volkswagen,volkswagen-t-roc-phase-2-2022-manual-42991-km-essence,volkswagen t-roc,phase 2,1.0 TSI 110 LIFE,1.0,TSI,110,LIFE,2022,Manuelle,42991,Essence,21499,Offre équitable,VOLKSWAGEN ANGOULEME - GROUPE AUTOSPHERE,16
2711,volkswagen,volkswagen-tiguan-ii-phase-2-2022-manual-43044-km-essence,volkswagen tiguan,II phase 2,1.5 TSI 150 ACTIVE,1.5,TSI,150,ACTIVE,2022,Manuelle,43044,Essence,26990,Bonne affaire,JW AUTO CAEN NORD,14
2712,skoda,skoda-octavia-iv-combi-2022-auto-43118-km-essence,skoda octavia,IV COMBI,1.5 TSI 150 BUSINESS,1.5,TSI,150,BUSINESS,2022,Auto,43118,Essence,23970,Bonne affaire,ESPACE 3000 BESANCON,25
2713,volkswagen,volkswagen-t-roc-phase-2-2022-auto-43311-km-essence,volkswagen t-roc,phase 2,1.5 TSI 150 STYLE EXCLUSIVE,1.5,TSI,150,STYLE EXCLUSIVE,2022,Auto,43311,Essence,26990,Bonne affaire,VOLKSWAGEN ST GREGOIRE - VGRF GRAND OUEST,35
2714,skoda,skoda-karoq-phase-2-2022-auto-43390-km-essence,skoda karoq,phase 2,1.5 TSI 150 SPORTLINE,1.5,TSI,150,SPORTLINE,2022,Auto,43390,Essence,29987,Offre équitable,VOLKSWAGEN NANCY - VGRF GRAND EST,54
2715,volkswagen,volkswagen-t-roc-2022-auto-43675-km-essence,volkswagen t-roc,,1.5 TSI 150 CARAT,1.5,TSI,150,CARAT,2022,Auto,43675,Essence,24990,Bonne affaire,CHARDON AUTOMOBILES NOISY LE GRAND,93
2716,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-43823-km-hybrides,volkswagen tiguan,II phase 2,1.4 E-HYBRID 245 R-LINE EXCLUSIVE,1.4,E-HYBRID,245,R-LINE EXCLUSIVE,2022,Auto,43823,Hybrides,37980,Offre équitable,LSA,50
